股票代码,描述
000049,"深圳市德赛电池科技股份有限公司的主营业务是从事锂电池电源管理系统、储能电芯及相关封装集成产品的研发、设计、生产及销售业务。其中惠州电池主营中小型锂电池封装集成业务，惠州蓝微主营中小型锂电池电源管理系统业务，惠州新源主营大型动力电池、储能电池等电源管理系统业务及封装集成业务。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000050,"天马微电子股份有限公司主营业务是显示器件及相关的材料、设备、产品的设计、制造、销售，现已成为一家集研发、设计、生产、销售和服务为一体的大型公众上市公司.丰富的制造经验、先进的设备、精良的工艺、高效的管理使天马成为国内规模最大的液晶显示器及模块制造商之一.强大的研发队伍和国内外最先进的技术,确保天马能够为客户提供从咨询、设计、制造、销售全方位的服务和专业的技术支持.公司产品现已广泛应用于移动电话、车载显示、仪器仪表、家用电器及其他信息终端显示领域.目前天马已成为国内彩色显示屏主要供应商。公司荣获多项客户奖项及众多客户的认可与好评，包括联想“Diamond Award”、迈瑞“卓越质量奖”、Lex...查看全部▼天马微电子股份有限公司主营业务是显示器件及相关的材料、设备、产品的设计、制造、销售，现已成为一家集研发、设计、生产、销售和服务为一体的大型公众上市公司.丰富的制造经验、先进的设备、精良的工艺、高效的管理使天马成为国内规模最大的液晶显示器及模块制造商之一.强大的研发队伍和国内外最先进的技术,确保天马能够为客户提供从咨询、设计、制造、销售全方位的服务和专业的技术支持.公司产品现已广泛应用于移动电话、车载显示、仪器仪表、家用电器及其他信息终端显示领域.目前天马已成为国内彩色显示屏主要供应商。公司荣获多项客户奖项及众多客户的认可与好评，包括联想“Diamond Award”、迈瑞“卓越质量奖”、Lexmark“Outstanding Quality No.1 in 2022”、小鹏汽车“技术贡献奖”等，保持了一贯良好的品牌形象。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000055,"方大集团股份有限公司的主营业务为高端智慧幕墙系统及新材料、轨道交通屏蔽门设备、新能源、商业地产等业务。主要产品有智慧节能幕墙、光电幕墙、LED彩显幕墙等各类建筑幕墙、PVDF铝板、石墨烯铝板、纳米铝板材料。报告期内，公司完成智慧幕墙系统及新材料研发计划项目立项40项，新申请专利5项，新授权专利8项。先后获得智慧幕墙系统及新材料专利技术665项、软件著作权21项，参与编写了22项国家/行业技术规范及标准，从事智慧幕墙系统及新材料产业的6家子公司为国家级高新技术企业，其中5家为“专精特新”企业，先后获评国家知识产权优势企业、“专精特新”小巨人、广东省工程技术研究中心、江西省企业技术中心、江西省智能...查看全部▼方大集团股份有限公司的主营业务为高端智慧幕墙系统及新材料、轨道交通屏蔽门设备、新能源、商业地产等业务。主要产品有智慧节能幕墙、光电幕墙、LED彩显幕墙等各类建筑幕墙、PVDF铝板、石墨烯铝板、纳米铝板材料。报告期内，公司完成智慧幕墙系统及新材料研发计划项目立项40项，新申请专利5项，新授权专利8项。先后获得智慧幕墙系统及新材料专利技术665项、软件著作权21项，参与编写了22项国家/行业技术规范及标准，从事智慧幕墙系统及新材料产业的6家子公司为国家级高新技术企业，其中5家为“专精特新”企业，先后获评国家知识产权优势企业、“专精特新”小巨人、广东省工程技术研究中心、江西省企业技术中心、江西省智能制造标杆企业、广东省创新型中小企业、企业创新纪录等荣誉，彰显了公司在幕墙产品设计、制造安装技术等方面的领先地位和综合实力。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000056,"深圳市皇庭国际企业股份有限公司是一家以商业地产开发和商业经营为主的企业，公司的主营业务是商业不动产运营管理业务、资产管理业务以及各配套服务业务。公司的主要产品及服务有商业运营服务、金融服务、融资租赁服务。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000058,"深圳赛格股份有限公司主营业务包括以电子专业市场、通信市场为核心的电子市场流通业务，以物业经营管理为核心的城市服务业务，以新能源和检验检测认证为代表的战略性新兴业务。主要产品是电子市场流通、物业经营管理与城市服务、新能源、检验检测认证、房地产开发。公司凭借扎实的服务质量、稳健的运营能力、良好的客户口碑，荣获“2024中国物业企业服务力百强企业”“2024中国物业服务企业品牌价值100强”“2024中国物业服务华南品牌企业30强”“2024中国园区物业服务力TOP20企业”“2024年度服务力产业园标杆项目”等荣誉。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000059,"北方华锦化学工业股份有限公司的主营业务石油化工及化学肥料生产与销售。公司的主要产品包括柴油成品油、聚丙烯树脂、聚乙烯树脂、ABS树脂、化学肥料、混合芳烃、C9、燃料油、沥青、润滑油等产品。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000060,"深圳市中金岭南有色金属股份有限公司主要业务是铅锌铜等有色金属的采矿、选矿、冶炼和深加工。公司主要产品有铅锭、锌锭及锌合金、阴极铜、白银、黄金、粗铜、电镓、工业硫酸、硫磺等。电铅、精镉曾获国家金质奖,精锌曾获国家银质奖,""南华牌""电铅、精锌被广东省确认""广东省名牌产品""并已在英国伦敦金属交易所(LME)注册。韶冶厂获评“2022年广东省减污降碳突出贡献企业”称号，凡口矿荣获“2023年度绿色矿山突出贡献奖”。在工业和信息部最新公布的2023年度绿色制造名单上，韶冶厂、华加日西林公司获评国家级绿色工厂。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000061,"深圳市农产品集团股份有限公司主营业务为农产品批发市场的开发、建设、经营和管理,业务范围涉及农产品流通，农产品基地种植，城市食材配送等农产品产业链服务。经过多年培育，“海吉星”品牌知名度和影响力与日俱增，成为农产品流通行业的标杆。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000062,"深圳华强实业股份有限公司主营业务为面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、信息服务、数据服务和创新创业配套等服务，打造面向电子信息产业的国内一流线下、线上交易服务平台。公司主要产品包括电子元器件授权分销、基于大数据的电子产业链B2B综合服务、电子元器件及电子终端产品实体交易市场、物业经营。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000063,"中兴通讯股份有限公司致力于为客户提供满意的ICT产品及解决方案，集“设计，开发，生产，销售，服务”等一体，聚焦于“运营商网络，政企业务，消费者业务”。主要产品及服务为无线产品，核心网产品，有线产品，服务器，数据中心交换机，数据中心，云电脑，服务器，数据中心交换机，数据中心，分布式数据库，家庭终端，手机产品等。公司荣获中国通信学会科学技术一等奖和第四届中国工业大奖。公司已发展了超过1,000家数字星云合作伙伴，携手头部客户打造一系列行业标杆项目荣获工信部“绽放杯”大赛全国一等奖和标杆赛金奖，GSMA2024全球移动通信大奖。公司助力国网山东电力建成国内首个省域电力5G示范网，完成5GTSN,5G...查看全部▼中兴通讯股份有限公司致力于为客户提供满意的ICT产品及解决方案，集“设计，开发，生产，销售，服务”等一体，聚焦于“运营商网络，政企业务，消费者业务”。主要产品及服务为无线产品，核心网产品，有线产品，服务器，数据中心交换机，数据中心，云电脑，服务器，数据中心交换机，数据中心，分布式数据库，家庭终端，手机产品等。公司荣获中国通信学会科学技术一等奖和第四届中国工业大奖。公司已发展了超过1,000家数字星云合作伙伴，携手头部客户打造一系列行业标杆项目荣获工信部“绽放杯”大赛全国一等奖和标杆赛金奖，GSMA2024全球移动通信大奖。公司助力国网山东电力建成国内首个省域电力5G示范网，完成5GTSN,5GLAN,RedCap等新技术与电网控制类业务的融合应用；项目荣获2023世界5G大会揭榜赛一等奖。公司荣获2023年“中国领军城市生命线安全解决方案提供商”和“数字政府和智慧城市优秀创新案例奖”。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
